Rank;Altleta;Pais;Round1;Round2;RoundTotal;Dez;X;Nove;WorldRanking;Prop.Dez;Prop.X;Prop.Nove;Finalista;PontosCombates
45;OLIVEIRA Bernardo;Brazil;324;327;651;24;11;30;46850;0,33;0,15;0,38;0;0
46;MALAVE Elias;Venezuela;325;326;651;23;11;33;90000;0,32;0,15;0,41;0;0
47;GALIAZZO Marco;Italy;332;319;651;21;4;36;0;0,29;0,06;0,45;0;0
48;DUZELBAYEV Sultan;Kazakhstan;332;316;648;29;9;23;38900;0,40;0,13;0,29;0;0
49;WIJAYA Muhammad;Indonesia;327;320;647;23;9;30;23325;0,32;0,13;0,38;0;0
50;KAMARUDDIN Haziq;Malaysia;316;329;645;23;12;31;46450;0,32;0,17;0,39;0;0
51;EL-NEMR Ahmed;Egypt;321;323;644;20;5;33;32000;0,28;0,07;0,41;0;0
52;PRILEPOV Anton;Belarus;318;325;643;22;6;28;131900;0,31;0,08;0,35;0;0
53;REZENDE XAVIER Daniel;Brazil;318;321;639;19;6;31;43200;0,26;0,08;0,39;0;0
54;PIIPPO Samuli;Finland;317;319;636;19;6;30;58000;0,26;0,08;0,38;0;0
55;NOR HASRIN Muhammad Akmal;Malaysia;314;321;635;19;6;30;18950;0,26;0,08;0,38;0;0
56;ELDER Robert;Fiji;313;322;635;19;2;33;24650;0,26;0,03;0,41;0;0
57;KOUASSI Rene Philippe;Cote d Ivoire;315;319;634;22;8;25;13800;0,31;0,11;0,31;0;0
58;DIELEMANS Mitch;Netherlands;310;324;634;20;5;33;69900;0,28;0,07;0,41;0;0
59;BALAZ Boris;Slovakia;320;311;631;18;4;27;24200;0,25;0,06;0,34;0;0
60;MUKTAN Jitbahadur;Nepal;299;308;607;12;4;25;0;0,17;0,06;0,31;0;0
61;JENSEN Arne;Tonga;300;304;604;11;3;26;0;0,15;0,04;0,33;0;0
62;DAVID Areneo;Malawi;292;311;603;17;3;17;0;0,24;0,04;0,21;0;0
63;EL GHRARI Ali;Libya;286;282;568;11;3;21;0;0,15;0,04;0,26;0;0
64;SUTHERLAND Gavin;Zimbabwe;279;287;566;7;0;14;29000;0,10;0,00;0,18;0;0
